3885.61
1	1	209.574	59	0 8 16 24 32 40 158 113 75 67 39 31 23 15 7 0
1	2	147.8	53	0 5 13 21 29 37 27 19 11 3 0
1	3	128.482	51	0 4 12 20 28 36 22 14 6 0
1	4	102.426	48	0 2 10 18 17 9 1 0
2	1	189.574	57	0 42 50 58 66 74 30 38 73 65 57 49 41 0
2	2	114.049	50	0 45 53 61 69 59 51 43 0
2	3	188.929	55	0 48 56 64 72 118 80 79 71 63 55 47 0
2	4	170.711	54	0 44 52 60 68 76 78 70 62 54 46 0
3	1	147.8	53	0 87 95 103 111 119 110 102 94 86 0
3	2	161.29	54	0 84 92 100 108 116 77 105 97 89 81 0
3	3	170.711	54	0 88 96 104 112 120 117 109 101 93 85 0
3	4	102.426	48	0 82 90 98 99 91 83 0
4	1	210.711	57	0 123 131 139 147 192 200 155 157 149 141 133 125 0
4	2	147.8	53	0 126 134 142 150 156 148 140 132 124 0
4	3	161.29	54	0 122 130 138 146 154 199 145 137 129 121 0
4	4	204.853	60	0 128 136 144 152 160 115 107 106 114 159 151 143 135 127 0
5	1	188.929	55	0 161 169 177 185 235 193 194 186 178 170 162 0
5	2	170.711	54	0 165 173 181 189 197 195 187 179 171 163 0
5	3	216.084	60	0 166 174 182 190 198 153 35 240 232 237 196 188 180 172 164 0
5	4	114.049	50	0 168 176 184 191 183 175 167 0
6	1	204.853	60	0 207 215 223 231 239 34 26 25 33 238 230 222 214 206 0
6	2	170.711	54	0 201 209 217 225 233 236 228 220 212 204 0
6	3	147.8	53	0 203 211 219 227 234 226 218 210 202 0
6	4	114.049	50	0 205 213 221 229 224 216 208 0
