5893.61
1	1	136.569	52	0 4 12 20 28 30 22 14 6 0
1	2	114.049	50	0 2 10 18 26 17 9 1 0
1	3	161.29	54	0 7 15 23 31 39 74 32 24 16 8 0
1	4	128.482	51	0 5 13 21 29 37 19 11 3 0
2	1	243.269	55	0 60 68 76 357 339 347 73 65 57 49 66 58 50 42 0
2	2	216.084	60	0 43 51 59 67 75 40 158 113 105 116 77 69 61 53 45 0
2	3	178.884	60	0 44 41 52 360 78 70 62 54 46 0
2	4	147.8	53	0 48 56 64 72 79 71 63 55 47 0
3	1	188.929	55	0 86 94 102 110 80 118 119 111 103 95 87 0
3	2	204.853	60	0 82 90 98 106 114 159 151 152 160 115 107 99 91 83 0
3	3	114.049	50	0 81 89 97 108 100 92 84 0
3	4	170.711	54	0 88 96 104 112 120 117 109 101 93 85 0
4	1	285.006	60	0 126 134 142 150 132 140 148 156 27 35 198 153 145 137 129 0
4	2	128.482	51	0 123 131 139 157 149 141 133 125 0
4	3	102.426	48	0 128 136 144 143 135 127 0
4	4	72.3607	48	0 124 121 138 130 122 0
5	1	188.929	55	0 161 169 177 185 235 193 194 186 178 170 162 0
5	2	147.8	53	0 164 172 180 188 196 190 182 174 166 0
5	3	204.853	60	0 168 176 184 192 200 155 147 146 154 199 191 183 175 167 0
5	4	170.711	54	0 163 171 179 187 195 197 189 181 173 165 0
6	1	204.853	60	0 204 212 220 228 236 277 269 272 280 238 230 222 214 206 0
6	2	147.8	53	0 203 211 219 227 237 229 221 213 205 0
6	3	188.929	55	0 201 209 217 225 275 233 234 226 218 210 202 0
6	4	181.701	55	0 208 216 224 232 240 34 239 231 223 215 207 0
7	1	170.711	54	0 244 252 260 268 276 273 265 257 249 241 0
7	2	147.8	53	0 242 250 258 266 274 267 259 251 243 0
7	3	102.426	48	0 246 254 262 263 255 247 0
7	4	102.426	48	0 245 253 261 264 256 248 0
8	1	147.8	53	0 284 292 300 308 316 310 302 294 286 0
8	2	215.843	59	0 288 296 304 312 320 38 355 346 354 319 311 303 295 287 0
8	3	204.853	60	0 282 290 298 306 314 279 271 270 278 313 305 297 289 281 0
8	4	196.084	58	0 283 291 299 307 315 33 25 36 317 309 301 293 285 0
9	1	188.929	55	0 324 332 340 348 356 353 318 345 337 329 321 0
9	2	170.711	54	0 327 335 343 351 359 358 350 342 334 326 0
9	3	136.569	52	0 328 336 344 352 349 341 333 325 0
9	4	80.645	44	0 323 331 338 330 322 0
