Run 4
0, 100000000, 0, 1, 0, alpha='100', beta='0.001', bound='2.0', crossoverRate='0.6', elitism='0.01', interAttemptRate='10', interMutationRate='0.25', intraMutationRate='0.2', populationSize='400', probBestIndividual='0.8', probReversal='0.33', probSingle='0.33'
0.1, 1332.0, 1, 1, 1000000000.0, alpha='100', beta='0.001', bound='2.0', crossoverRate='0.6', elitism='0.01', interAttemptRate='10', interMutationRate='0.25', intraMutationRate='0.2', populationSize='400', probBestIndividual='0.8', probReversal='0.33', probSingle='0.33'
0.2, 1326.0, 1, 1, 1000000000.0, alpha='10', beta='0.001', bound='1.0', crossoverRate='1.0', elitism='0.20', interAttemptRate='10', interMutationRate='0.1', intraMutationRate='0.75', populationSize='100', probBestIndividual='0.8', probReversal='0.50', probSingle='0.50'
0.30000000000000004, 1318.0, 1, 1, 1000000000.0, alpha='100', beta='0.1', bound='2.5', crossoverRate='0.5', elitism='0.15', interAttemptRate='5', interMutationRate='1.0', intraMutationRate='0.25', populationSize='1000', probBestIndividual='0.7', probReversal='0.0', probSingle='1.0'
1.7000000000000004, 1322.0, 2, 1, 1000000000.0, alpha='100', beta='0.1', bound='2.5', crossoverRate='0.5', elitism='0.15', interAttemptRate='5', interMutationRate='1.0', intraMutationRate='0.25', populationSize='1000', probBestIndividual='0.7', probReversal='0.0', probSingle='1.0'
1.9000000000000006, 1340.0, 3, 1, 1000000000.0, alpha='100', beta='0.1', bound='2.5', crossoverRate='0.5', elitism='0.15', interAttemptRate='5', interMutationRate='1.0', intraMutationRate='0.25', populationSize='1000', probBestIndividual='0.7', probReversal='0.0', probSingle='1.0'
2.0000000000000004, 1320.6666666666667, 3, 1, 1000000000.0, alpha='100', beta='10.0', bound='2.0', crossoverRate='0.4', elitism='0.15', interAttemptRate='1', interMutationRate='0.75', intraMutationRate='0.1', populationSize='1000', probBestIndividual='0.7', probReversal='1.0', probSingle='0.0'
2.1000000000000005, 1322.0, 4, 1, 1000000000.0, alpha='100', beta='10.0', bound='2.0', crossoverRate='0.4', elitism='0.15', interAttemptRate='1', interMutationRate='0.75', intraMutationRate='0.1', populationSize='1000', probBestIndividual='0.7', probReversal='1.0', probSingle='0.0'
2.2000000000000006, 1334.0, 5, 1, 1000000000.0, alpha='100', beta='10.0', bound='2.0', crossoverRate='0.4', elitism='0.15', interAttemptRate='1', interMutationRate='0.75', intraMutationRate='0.1', populationSize='1000', probBestIndividual='0.7', probReversal='1.0', probSingle='0.0'
2.3000000000000007, 1340.0, 6, 1, 1000000000.0, alpha='100', beta='10.0', bound='2.0', crossoverRate='0.4', elitism='0.15', interAttemptRate='1', interMutationRate='0.75', intraMutationRate='0.1', populationSize='1000', probBestIndividual='0.7', probReversal='1.0', probSingle='0.0'
3.2000000000000015, 1336.857142857143, 7, 1, 1000000000.0, alpha='100', beta='10.0', bound='2.0', crossoverRate='0.4', elitism='0.15', interAttemptRate='1', interMutationRate='0.75', intraMutationRate='0.1', populationSize='1000', probBestIndividual='0.7', probReversal='1.0', probSingle='0.0'
