instance,alpha,beta,bound,crossoverRate,elitism,interAttemptRate,interMutationRate,intraMutationRate,populationSize,probBestIndividual,probReversal,probSingle
pr01,102.6964,0.8173,1.9424,0.6505,0.0992,6.5118,0.5655,0.6005,431.8450,0.8084,0.6581,0.4660
pr02,72.4322,0.9142,1.9385,0.8857,0.1336,5.9641,0.6141,0.5495,465.4006,0.8119,0.4941,0.5398
pr03,88.2630,0.7261,1.8911,0.7815,0.1184,7.5485,0.5433,0.5788,390.4047,0.7985,0.6464,0.5120
pr04,71.1154,0.8107,1.9317,0.8874,0.1382,7.6748,0.6148,0.5451,201.8907,0.7923,0.5193,0.5415
pr05,60.6187,0.8181,1.8876,0.9437,0.1454,6.9611,0.6896,0.5168,208.0972,0.7947,0.4986,0.6292
pr06,64.3503,1.3407,1.9939,0.9399,0.1394,7.5449,0.5927,0.5241,212.5444,0.7662,0.5610,0.5500
pr07,93.0987,1.6861,1.9589,0.7146,0.1014,6.4061,0.5702,0.5922,442.5534,0.8133,0.6626,0.4283
pr08,93.4035,0.5695,1.8511,0.8441,0.1150,8.5434,0.5432,0.5827,376.3864,0.7800,0.6624,0.5222
pr09,83.9586,0.7647,1.8471,0.8583,0.1285,7.6696,0.5824,0.5589,123.6363,0.7822,0.6608,0.5323
pr10,83.8481,0.2669,2.0307,0.9324,0.1322,8.1045,0.5592,0.5523,122.0122,0.7531,0.6969,0.5180
p01,98.3680,0.4976,2.0271,0.8724,0.0931,2.4263,0.6513,0.5920,587.5280,0.8479,0.5033,0.5309
p02,95.4761,0.4783,1.9866,0.8809,0.0964,3.2954,0.6380,0.5901,553.5884,0.8409,0.4993,0.5119
p03,76.0691,8.0375,2.0375,0.9551,0.1254,3.8509,0.5944,0.6061,525.2607,0.8522,0.4794,0.4713
p04,71.5863,1.9222,1.9599,0.9619,0.1258,3.5252,0.5894,0.5608,521.0766,0.8278,0.4634,0.5001
p05,67.0261,1.8857,1.9588,0.9771,0.1373,4.9969,0.5738,0.5578,474.6472,0.8173,0.4654,0.4832
p06,69.7105,1.5984,1.9699,0.9797,0.1338,3.5594,0.5701,0.5928,506.5551,0.8290,0.4677,0.4696
p07,71.6203,0.6171,1.9652,0.9620,0.1311,3.4285,0.6021,0.5942,504.4523,0.8318,0.4847,0.4918
p08,92.3996,2.6764,1.8886,0.7639,0.1195,7.2177,0.3378,0.5251,173.4199,0.7268,0.6519,0.4916
p09,90.9915,3.2265,1.9231,0.8181,0.1189,7.0795,0.3366,0.5401,147.8671,0.7256,0.6612,0.4968
p10,83.1577,2.6475,1.8992,0.8113,0.1187,6.9670,0.5471,0.5401,130.8287,0.7531,0.6812,0.5092
p11,83.3197,2.6397,1.9084,0.8109,0.1181,6.0501,0.5472,0.5431,128.1834,0.7541,0.6783,0.5047
p12,89.9053,2.3808,1.9217,0.9087,0.1037,2.3522,0.5319,0.4405,567.0678,0.7856,0.5327,0.6132
p13,89.9053,2.3808,1.9217,0.9087,0.1037,2.3522,0.5319,0.4405,567.0678,0.7856,0.5327,0.6132
p14,89.9053,2.3808,1.9217,0.9087,0.1037,2.3522,0.5319,0.4405,567.0678,0.7856,0.5327,0.6132
p15,88.5289,1.2732,1.8137,0.8840,0.1078,2.7668,0.5612,0.5395,574.3864,0.8142,0.4628,0.5894
p16,88.5289,1.2732,1.8137,0.8840,0.1078,2.7668,0.5612,0.5395,574.3864,0.8142,0.4628,0.5894
p17,88.5289,1.2732,1.8137,0.8840,0.1078,2.7668,0.5612,0.5395,574.3864,0.8142,0.4628,0.5894
p18,120.9804,0.9411,1.2598,0.8172,0.1158,2.7998,0.4915,0.5849,139.0710,0.8195,0.4982,0.5984
p19,120.9804,0.9411,1.2598,0.8172,0.1158,2.7998,0.4915,0.5849,139.0710,0.8195,0.4982,0.5984
p20,120.9804,0.9411,1.2598,0.8172,0.1158,2.7998,0.4915,0.5849,139.0710,0.8195,0.4982,0.5984
p21,82.9260,3.8869,1.9532,0.8149,0.0882,3.9599,0.6368,0.5424,143.0680,0.8022,0.7244,0.5440
p22,82.9260,3.8869,1.9532,0.8149,0.0882,3.9599,0.6368,0.5424,143.0680,0.8022,0.7244,0.5440
p23,82.9260,3.8869,1.9532,0.8149,0.0882,3.9599,0.6368,0.5424,143.0680,0.8022,0.7244,0.5440
