instance,alpha,beta,bound,crossoverRate,elitism,interAttemptRate,interMutationRate,intraMutationRate,populationSize,probBestIndividual,probReversal,probSingle
pr01,123.23263,0.9491209,2.1949751,0.5087936,0.1015369,6.822816,0.44768554,0.6392063,403.1377,0.8057295,0.62212926,0.456793
pr02,109.7928,0.90917516,2.0967479,0.7131767,0.10782507,2.6236732,0.6465849,0.61717945,463.9811,0.77305835,0.48645967,0.5678543
pr03,97.29974,1.0756578,1.7818657,0.7914745,0.08221589,2.954093,0.51950026,0.56859535,270.04565,0.73831135,0.47451723,0.5513674
pr04,117.452675,0.72841537,1.8073221,0.7884614,0.097500354,5.4718266,0.56934404,0.6120649,410.00098,0.74449337,0.4741757,0.58263826
pr05,86.7488,4.1397476,1.9184873,0.9486793,0.14924048,6.4727716,0.6761386,0.6274018,382.8834,0.7703105,0.43632656,0.62076604
pr06,87.56561,5.1334505,1.4014745,0.95659983,0.123479486,5.738218,0.65081537,0.6227316,374.7161,0.773226,0.42767048,0.54189795
pr07,83.05809,7.434288,1.6980705,0.53739864,0.058913313,0.5378972,0.6324735,0.5759325,326.0131,0.75704867,0.4218395,0.4279539
pr08,108.0003,-0.2950815,2.138371,0.7229062,0.08041103,4.577509,0.55601376,0.5465459,289.25082,0.701736,0.5128839,0.56143725
pr09,99.815094,1.8172354,1.8133788,0.8035425,0.086975604,2.551535,0.63946337,0.58754414,342.5511,0.71566474,0.48742965,0.5344813
pr10,103.82187,1.9781739,1.9718801,0.8965157,0.12187141,6.151655,0.6427726,0.6243838,332.32788,0.72384584,0.5356336,0.6262172
p01,91.84462,-0.045207456,2.625406,0.84639776,0.09753496,5.5034637,0.5801617,0.576752,415.8153,0.796573,0.602197,0.39672136
p02,87.63327,1.0161957,1.9906455,0.7164463,0.06769013,0.7806563,0.5786371,0.62229645,353.6436,0.7297461,0.51791775,0.44373074
p03,94.68069,4.1919866,1.9171035,0.6824023,0.06786437,-0.81405026,0.8019732,0.5916799,507.01404,0.7758564,0.37291542,0.3583269
p04,62.426952,4.881308,1.5260918,0.9775292,0.094091624,3.592568,0.6447384,0.52234036,352.97607,0.8375206,0.32542515,0.38236374
p05,111.28344,2.185421,1.5613043,0.6692965,0.08914184,0.9478002,0.6652592,0.7007806,653.0361,0.7981831,0.3559291,0.45432356
p06,103.6739,1.9593983,2.0207312,0.8113788,0.10000039,1.5107431,0.7103393,0.64944965,572.17535,0.8319925,0.44907978,0.41755432
p07,85.21933,3.359458,1.8552406,0.8485222,0.07959407,2.2034194,0.6969885,0.56654096,426.95752,0.79695976,0.40770566,0.38232613
p08,96.05788,1.3659533,1.3148667,0.91076434,0.08880651,12.748632,0.40859482,0.4119759,373.0163,0.7988127,0.32098764,0.51580757
p09,109.83295,-1.2063144,1.67969,0.8750683,0.100679055,4.174453,0.54156774,0.5496975,598.5216,0.8078135,0.4808603,0.5966967
p10,92.71428,-0.08710831,1.5870998,0.9156474,0.086498365,2.4360108,0.5690243,0.51075375,482.1925,0.78376496,0.473186,0.574574
p11,97.87871,-0.3587061,1.7012079,0.89365643,0.084056616,1.2712389,0.6159713,0.50717926,429.98557,0.77788645,0.4958173,0.59498334
p12,55.836613,3.3949604,2.123482,0.86685133,0.11288203,4.7892404,0.40609246,0.5410657,784.27716,0.78137094,0.4438377,0.5754292
p13,55.836613,3.3949604,2.123482,0.86685133,0.11288203,4.7892404,0.40609246,0.5410657,784.27716,0.78137094,0.4438377,0.5754292
p14,55.836613,3.3949604,2.123482,0.86685133,0.11288203,4.7892404,0.40609246,0.5410657,784.27716,0.78137094,0.4438377,0.5754292
p15,99.16398,1.1134813,1.4916601,0.92629826,0.07716108,4.340335,0.5121921,0.44426534,316.26416,0.832548,0.5180199,0.5490563
p16,99.16398,1.1134813,1.4916601,0.92629826,0.07716108,4.340335,0.5121921,0.44426534,316.26416,0.832548,0.5180199,0.5490563
p17,99.16398,1.1134813,1.4916601,0.92629826,0.07716108,4.340335,0.5121921,0.44426534,316.26416,0.832548,0.5180199,0.5490563
p18,100.798035,2.0034046,1.7130554,0.89774215,0.089380845,3.7592633,0.5801263,0.49987814,193.35982,0.83078784,0.58672124,0.5873851
p19,100.798035,2.0034046,1.7130554,0.89774215,0.089380845,3.7592633,0.5801263,0.49987814,193.35982,0.83078784,0.58672124,0.5873851
p20,100.798035,2.0034046,1.7130554,0.89774215,0.089380845,3.7592633,0.5801263,0.49987814,193.35982,0.83078784,0.58672124,0.5873851
p21,89.15586,4.372473,1.7906299,0.88339156,0.08925955,4.5716176,0.6549742,0.52624905,92.61631,0.79868567,0.6394608,0.5828881
p22,89.15586,4.372473,1.7906299,0.88339156,0.08925955,4.5716176,0.6549742,0.52624905,92.61631,0.79868567,0.6394608,0.5828881
p23,89.15586,4.3724723,1.7906293,0.88339156,0.08925955,4.571616,0.6549742,0.5262491,92.6166,0.79868567,0.6394608,0.5828881
