instance,alpha,beta,bound,crossoverRate,elitism,interAttemptRate,interMutationRate,intraMutationRate,populationSize,probBestIndividual,probReversal,probSingle
pr01,122.0000,2.1122,2.6000,0.5600,0.0920,11.2000,0.3900,0.5900,160.0000,0.7600,0.6160,0.3660
pr02,84.0000,0.0324,3.3000,0.8000,0.1000,1.2000,0.7500,0.4200,600.0000,0.7800,0.5320,0.5500
pr03,82.0000,4.0240,2.6000,0.7600,0.0720,9.2000,0.4300,0.5900,200.0000,0.7200,0.4980,0.4660
pr04,100.0000,0.5300,1.6000,0.8700,0.1220,1.8000,0.4300,0.4800,260.0000,0.7800,0.5500,0.3660
pr05,64.0000,4.2002,1.5000,1.0000,0.1220,5.6000,0.8000,0.6400,210.0000,0.8600,0.4660,0.8000
pr06,102.0000,8.2000,0.9000,0.9500,0.1400,4.0000,0.7700,0.4300,250.0000,0.7800,0.7160,0.4320
pr07,152.0000,10.0000,1.8000,0.5800,0.1020,1.6000,0.6000,0.5400,500.0000,0.7200,0.4320,0.7500
pr08,92.0000,2.0600,1.5000,0.9500,0.1600,12.4000,0.3500,0.6500,320.0000,0.6600,0.4160,0.7000
pr09,80.0000,0.0540,2.6000,0.9200,0.0540,1.8000,0.8000,0.3600,400.0000,0.7400,0.5500,0.4500
pr10,120.0000,0.2340,2.8000,0.9000,0.1400,4.6000,0.3900,0.7500,90.0000,0.6800,0.5500,0.7160
p01,110.0000,0.2304,1.3000,0.7900,0.1200,1.6000,0.7000,0.8500,640.0000,0.9000,0.3160,0.7000
p02,104.0000,4.0402,2.4000,0.6300,0.0920,2.0000,0.8500,0.5000,360.0000,0.7400,0.3300,0.2820
p03,104.0000,4.0402,2.4000,0.6300,0.0920,2.0000,0.8500,0.5000,360.0000,0.7400,0.3300,0.2820
p04,92.0000,2.3120,2.2000,0.8500,0.1500,2.8000,0.5200,0.5200,380.0000,0.7800,0.6500,0.4660
p05,92.0000,2.3120,2.2000,0.8500,0.1500,2.8000,0.5200,0.5200,380.0000,0.7800,0.6500,0.4660
p06,92.0000,2.3120,2.2000,0.8500,0.1500,2.8000,0.5200,0.5200,380.0000,0.7800,0.6500,0.4660
p07,92.0000,2.3120,2.2000,0.8500,0.1500,2.8000,0.5200,0.5200,380.0000,0.7800,0.6500,0.4660
p08,64.0000,0.2302,2.2000,0.9200,0.0380,12.2000,0.3600,0.2700,220.0000,0.7800,0.4820,0.4820
p09,100.0000,0.0424,1.6000,0.9500,0.0840,5.0000,0.6500,0.5500,220.0000,0.7600,0.5500,0.7000
p10,100.0000,0.0424,1.6000,0.9500,0.0840,5.0000,0.6500,0.5500,220.0000,0.7600,0.5500,0.7000
p11,100.0000,0.0424,1.6000,0.9500,0.0840,5.0000,0.6500,0.5500,220.0000,0.7600,0.5500,0.7000
p12,46.0000,0.1700,2.3000,0.6600,0.1120,3.2000,0.3700,0.5000,1020.0000,0.7800,0.5320,0.4500
p13,46.0000,0.1700,2.3000,0.6600,0.1120,3.2000,0.3700,0.5000,1020.0000,0.7800,0.5320,0.4500
p14,46.0000,0.1700,2.3000,0.6600,0.1120,3.2000,0.3700,0.5000,1020.0000,0.7800,0.5320,0.4500
p15,112.0000,0.3500,1.9000,0.9200,0.0840,3.8000,0.3600,0.5300,210.0000,0.8600,0.8500,0.4160
p16,112.0000,0.3500,1.9000,0.9200,0.0840,3.8000,0.3600,0.5300,210.0000,0.8600,0.8500,0.4160
p17,112.0000,0.3500,1.9000,0.9200,0.0840,3.8000,0.3600,0.5300,210.0000,0.8600,0.8500,0.4160
p18,160.0000,2.0502,1.2000,0.9200,0.0940,3.4000,0.6500,0.5500,70.0000,0.8200,0.6000,0.3000
p19,160.0000,2.0502,1.2000,0.9200,0.0940,3.4000,0.6500,0.5500,70.0000,0.8200,0.6000,0.3000
p20,160.0000,2.0502,1.2000,0.9200,0.0940,3.4000,0.6500,0.5500,70.0000,0.8200,0.6000,0.3000
p21,102.0000,4.0104,2.3000,0.7900,0.1300,6.2000,0.8500,0.5900,70.0000,0.7600,0.7000,0.5820
p22,102.0000,4.0104,2.3000,0.7900,0.1300,6.2000,0.8500,0.5900,70.0000,0.7600,0.7000,0.5820
p23,102.0000,4.0104,2.3000,0.7900,0.1300,6.2000,0.8500,0.5900,70.0000,0.7600,0.7000,0.5820
