instance,client_number,dist_centroid_depot_1,dist_centroid_depot_2,dist_centroid_depot_3,dist_centroid_depot_4,avg_dist_centroid_depots,avg_avg_dist_to_depots,avg_dist_min_to_depots,avg_dist_max_to_depots,avg_dist_to_depot_1,cv_dist_to_depot_1,avg_dist_to_depot_2,cv_dist_to_depot_2,avg_dist_to_depot_3,cv_dist_to_depot_3,avg_dist_to_depot_4,cv_dist_to_depot_4,avg_cv_dist_to_depots,average_distance_to_centroid,cv_distance_to_centroid,ratio_mean_client_demand_capacity,ratio_cv_client_demand_capacity,average_clients_per_vehicle,avg_NN_distances,cv_NN_distances,optimal_min_samples,cluster_ratio,outlier_ratio,avg_clients_per_cluster,cv_clients_per_cluster,intra_cluster_distance,inter_cluster_distance
p01,50.0,0.2594,0.055,0.1869,0.2919,0.1983,0.1489,0.0415,0.271,0.1527,0.3571,0.1895,0.5534,0.1078,0.5284,0.1458,0.5506,0.4974,0.2514,0.4247,[0.1942],[0.6419],3.125,0.0753,0.0022,2,0.26,0.24,0.0769,0.014,0.0626,0.0704
p02,50.0,0.2594,0.055,0.1869,0.2919,0.1983,0.1489,0.0415,0.271,0.1527,0.3571,0.1895,0.5534,0.1078,0.5284,0.1458,0.5506,0.4974,0.2514,0.4247,[0.0971],[0.321],6.25,0.0753,0.0022,2,0.26,0.24,0.0769,0.014,0.0626,0.0704
p03,75.0,0.0329,0.1761,0.2338,0.1597,0.1698,0.1154,0.0317,0.1992,0.08,0.3679,0.1298,0.4173,0.1162,0.4204,0.1486,0.4587,0.3942,0.2321,0.4051,[0.1299],[0.3106],5.0,0.0566,0.003,2,0.2133,0.4,0.0625,0.0189,0.0451,0.0529,0.2465,0.1023,0.3069
p04,100.0,0.1565,0.1385,0.2338,0.1597,0.1475,0.1924,0.0475,0.3602,0.1801,0.4008,0.2047,0.3928,0.1162,0.4204,0.1486,0.4587,0.3968,0.2441,0.3709,[0.1458],[0.6054],6.25,0.0511,0.0041,2,0.24,0.33,0.0417,0.0149,0.0381,0.0464,0.2465,0.1023,0.3069
p05,100.0,0.1834,0.2089,0.2338,0.1597,0.1962,0.1914,0.0219,0.4143,0.1869,0.4892,0.1959,0.451,0.1162,0.4204,0.1486,0.4587,0.4701,0.2441,0.3709,[0.0729],[0.3027],10.0,0.0511,0.0041,2,0.24,0.33,0.0417,0.0149,0.0381,0.0464,0.2465,0.1023,0.3069
p06,100.0,0.2406,0.2232,0.1874,0.1597,0.2171,0.1447,0.0269,0.2997,0.1192,0.535,0.1305,0.4109,0.1844,0.4196,0.1486,0.4587,0.4552,0.2441,0.3709,[0.1458],[0.6054],5.5556,0.0511,0.0041,2,0.24,0.33,0.0417,0.0149,0.0381,0.0464,0.2465,0.1023,0.3069
p07,100.0,0.1834,0.2089,0.1565,0.1385,0.1718,0.1445,0.0347,0.3114,0.1311,0.5051,0.1425,0.5455,0.1304,0.3587,0.1739,0.508,0.4793,0.2441,0.3709,[0.1458],[0.6054],6.25,0.0511,0.0041,2,0.24,0.33,0.0417,0.0149,0.0381,0.0464,0.2465,0.1023,0.3069
p08,249.0,0.3185,0.3494,0.1565,0.1385,0.3339,0.4133,0.0567,0.9464,0.3998,0.3306,0.4267,0.3231,0.1304,0.3587,0.1739,0.508,0.3269,0.5367,0.2604,[0.0972],[0.1233],8.8929,0.0446,0.004,2,0.3373,0.1205,0.0119,0.0042,0.0326,0.0475,0.2465,0.1023,0.3069
p09,249.0,0.4973,0.541,0.5795,0.1385,0.5392,0.3319,0.0506,0.69,0.3759,0.3025,0.3168,0.3186,0.3029,0.2974,0.1739,0.508,0.3062,0.5367,0.2604,[0.0972],[0.1233],6.9167,0.0446,0.004,2,0.3373,0.1205,0.0119,0.0042,0.0326,0.0475,0.2465,0.1023,0.3069
p10,249.0,0.533,0.5105,0.5396,0.5609,0.536,0.2994,0.0585,0.6104,0.2962,0.2931,0.2915,0.3052,0.2827,0.3564,0.3273,0.3046,0.3148,0.5367,0.2604,[0.0972],[0.1233],7.7812,0.0446,0.004,2,0.3373,0.1205,0.0119,0.0042,0.0326,0.0475,0.2465,0.1023,0.3069
p11,249.0,0.4973,0.6149,0.66,0.4476,0.5366,0.2804,0.0563,0.5021,0.2554,0.2667,0.2744,0.2697,0.2542,0.3083,0.3019,0.2723,0.2888,0.5367,0.2604,[0.0972],[0.1233],8.3,0.0446,0.004,2,0.3373,0.1205,0.0119,0.0042,0.0326,0.0475,0.4634,0.3161,0.3271
p12,80.0,0.3281,0.3281,0.66,0.4476,0.3281,0.2198,0.0597,0.4218,0.2236,0.2864,0.216,0.3031,0.2542,0.3083,0.3019,0.2723,0.2948,0.3775,0.2439,[0.09],[1.259],8.0,0.0683,0.001,14,0.025,0.0,0.5,0.0009,0.2163,0.3277,0.4634,0.3161,0.3271
