4059.85
1	1	123.255	497	0 92 178 210 41 110 60 158 109 105 0
1	2	131.335	479	0 20 227 29 97 132 171 181 169 0
1	3	219.438	497	0 236 23 120 22 44 199 25 141 126 116 123 135 84 16 243 6 0
1	4	136.569	424	0 48 128 179 161 45 212 107 14 0
1	5	82.4039	414	0 196 174 143 98 240 117 0
1	6	86.3265	235	0 85 222 165 37 111 0
2	1	163.158	483	0 24 40 127 147 159 134 51 67 201 0
2	2	157.488	443	0 38 223 43 122 146 39 136 226 32 78 0
2	3	152.326	482	0 175 56 242 225 241 11 214 131 238 10 0
2	4	111.966	432	0 17 55 47 168 103 113 194 42 197 80 66 0
2	5	116.229	416	0 176 233 102 15 219 52 75 162 59 0
3	1	232.168	486	0 208 246 160 7 164 81 4 154 76 87 188 34 95 0
3	2	146.449	499	0 144 180 63 200 152 156 28 182 35 239 0
3	3	94.7068	465	0 184 218 94 86 151 245 192 0
3	4	174.954	495	0 216 46 93 187 91 77 50 88 247 149 119 0
4	1	169.353	497	0 204 69 177 157 82 235 57 203 193 101 114 0
4	2	184.559	489	0 248 121 106 189 220 65 206 173 0
4	3	181.466	499	0 54 198 73 96 30 18 137 53 228 83 36 0
4	4	159.124	491	0 195 2 170 148 26 13 167 89 153 9 230 27 0
4	5	120.633	457	0 163 237 62 249 224 64 125 0
4	6	198.721	500	0 183 150 58 190 118 3 8 112 0
5	1	212.079	457	0 211 205 31 71 229 1 139 202 231 232 142 68 0
5	2	121.028	494	0 79 33 209 100 138 72 185 19 0
5	3	194.453	497	0 61 90 234 99 70 155 108 244 115 145 0
5	4	205.856	493	0 5 133 12 221 129 130 49 124 217 207 166 0
5	5	183.805	485	0 21 186 172 140 74 104 215 213 191 0
